regiao,anos_disponiveis,anos_com_casos,casos_periodo,populacao_media,incidencia_media_anual_100mil,incidencia_mediana_anual_100mil,incidencia_maxima_anual_100mil,ano_maior_incidencia,incidencia_ano_pico_100mil,participacao_casos_periodo
Norte,10,10,359242,18201716.5,197.54124007192632,204.63892554489894,304.8098366600435,2024,304.8098366600435,0.022046266831863417
Nordeste,10,10,1757366,56671404.9,310.3203435009979,243.65963928763574,605.0084381424208,2024,605.0084381424208,0.10784752272074113
Centro-Oeste,10,10,2309520,16402098.2,1397.219315972026,1167.234476733342,3949.812539484448,2024,3949.812539484448,0.1417325762954365
Sudeste,10,10,9277216,87515875.9,1056.2152211408115,763.6886738732788,4830.522952115217,2024,4830.522952115217,0.5693320363232378
Sul,10,10,2591569,30170888.5,846.4928060630403,467.65917749618194,3880.886398013231,2024,3880.886398013231,0.15904159782872115
