horizonte,threshold,periodo_selecao_inicio,periodo_selecao_fim,observacoes_early_warning,positivos_early_warning,prevalencia_early_warning,alertas,proporcao_alertas,precision_selecao,recall_selecao,f1_selecao,candidatos_threshold,criterio,regra_desempate
1,0.18768701290225787,2021,2024,898785,28720,0.03195424934773055,34069,0.037905617027431476,0.3393407496551117,0.402541782729805,0.368249215626941,464355,max_f1,maior_threshold
2,0.19078304884119077,2021,2024,880738,49629,0.05634933430827329,50948,0.05784694199637123,0.3719674962707074,0.38185335187088193,0.3768456008829057,474730,max_f1,maior_threshold
3,0.16799146567905981,2021,2024,862734,66703,0.07731583547188357,77538,0.08987474702515491,0.32581443937166293,0.37873858746982897,0.3502887528511311,477999,max_f1,maior_threshold
4,0.15713786800932078,2021,2024,844617,81120,0.09604353215717894,125536,0.1486306811252911,0.2679151797094061,0.41460798816568045,0.3254974450294209,480653,max_f1,maior_threshold
