dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
nome_uf_ibge,Acre,1,geral,0.187687,1144,22,126,1018,0.11013986013986014,0.9456166167234867,0.9888319767985779,0.02276501005794504,0.7065868263473054,0.9365079365079365,0.8054607508532424,0.9441871706115321,167,0.145979020979021,969,49,8,118
nome_uf_ibge,Acre,1,early_warning,0.187687,1015,22,19,996,0.0187192118226601,0.2721395764149252,0.9474476854787571,0.01579575818701627,0.2558139534883721,0.5789473684210527,0.3548387096774194,0.7734094271824139,43,0.042364532019704436,964,32,8,11
nome_uf_ibge,Alagoas,1,geral,0.187687,5304,102,749,4555,0.14121417797888386,0.9196508463047044,0.9760435795110641,0.031437569912146225,0.7377777777777778,0.8865153538050734,0.8053365676167374,0.9173520786588485,900,0.16968325791855204,4319,236,85,664
nome_uf_ibge,Alagoas,1,early_warning,0.187687,4562,102,144,4418,0.03156510302498904,0.2832629813211075,0.9041562924400182,0.02578507499451656,0.29767441860465116,0.4444444444444444,0.3565459610027855,0.7051330415975051,215,0.047128452433143356,4267,151,80,64
nome_uf_ibge,Amapá,1,geral,0.187687,832,16,126,706,0.15144230769230768,0.9159637652756548,0.9745716983677324,0.03307491545469844,0.6993865030674846,0.9047619047619048,0.7889273356401384,0.9176784028058815,163,0.19591346153846154,657,49,12,114
nome_uf_ibge,Amapá,1,early_warning,0.187687,705,16,27,678,0.03829787234042553,0.48820876180175743,0.9128154703375942,0.02680619054491117,0.32608695652173914,0.5555555555555556,0.410958904109589,0.7549164208456244,46,0.06524822695035461,647,31,12,15
nome_uf_ibge,Amazonas,1,geral,0.187687,3224,62,332,2892,0.10297766749379653,0.9269378380171561,0.977565865120232,0.020208354801867036,0.8059299191374663,0.9006024096385542,0.8506401137980085,0.9378530720391941,371,0.11507444168734492,2820,72,33,299
nome_uf_ibge,Amazonas,1,early_warning,0.187687,2890,62,55,2835,0.01903114186851211,0.3515088689231929,0.8850665383998717,0.015081083721630442,0.39705882352941174,0.4909090909090909,0.43902439024390244,0.7382235048901715,68,0.023529411764705882,2794,41,28,27
nome_uf_ibge,Bahia,1,geral,0.187687,21684,417,2248,19436,0.10367090942630511,0.9079637898718772,0.9780452899890799,0.024751642457137256,0.7163963963963964,0.8843416370106761,0.7915588293848298,0.9219248831276883,2775,0.12797454344216935,18649,787,260,1988
nome_uf_ibge,Bahia,1,early_warning,0.187687,19440,417,427,19013,0.021965020576131686,0.23505255122155616,0.909027054212014,0.01866950892110168,0.2706222865412446,0.4379391100702576,0.334525939177102,0.7057154657278127,691,0.035545267489711936,18509,504,240,187
nome_uf_ibge,Ceará,1,geral,0.187687,9568,184,708,8860,0.07399665551839466,0.9085720429287035,0.9801996052849727,0.016420772853781476,0.7291910902696366,0.8785310734463276,0.7969250480461243,0.926229419341674,853,0.08915133779264214,8629,231,86,622
