modelo,horizonte,fold,validacao_ano,geral_pr_auc_average_precision_a,geral_recall_a,geral_f1_a,geral_balanced_accuracy_a,geral_brier_score_a,early_warning_pr_auc_average_precision_a,early_warning_recall_a,early_warning_f1_a,early_warning_balanced_accuracy_a,early_warning_brier_score_a,geral_pr_auc_average_precision_b,geral_recall_b,geral_f1_b,geral_balanced_accuracy_b,geral_brier_score_b,early_warning_pr_auc_average_precision_b,early_warning_recall_b,early_warning_f1_b,early_warning_balanced_accuracy_b,early_warning_brier_score_b,geral_pr_auc_average_precision_delta_b_menos_a,geral_recall_delta_b_menos_a,geral_f1_delta_b_menos_a,geral_balanced_accuracy_delta_b_menos_a,geral_brier_score_delta_b_menos_a,early_warning_pr_auc_average_precision_delta_b_menos_a,early_warning_recall_delta_b_menos_a,early_warning_f1_delta_b_menos_a,early_warning_balanced_accuracy_delta_b_menos_a,early_warning_brier_score_delta_b_menos_a
hist_gradient_boosting,1,fold_1,2021,0.9280990458313868,0.8320204726298532,0.8801099714497198,0.9131763688966802,0.0164649151955481,0.248450580114801,0.0827469060907546,0.1445527766002543,0.5408721370909971,0.0134548499130741,0.9286521570491758,0.830740933264025,0.8789795443487826,0.9124979906658336,0.0165483727037966,0.245847951905486,0.0805629701528755,0.1409467204415198,0.5397762525911639,0.0134957448497501,0.0005531112177890041,-0.0012795393658282528,-0.001130427100937248,-0.0006783782308465991,8.34575082485009e-05,-0.0026026282093150055,-0.002183935937879092,-0.003606056158734522,-0.0010958844998332218,4.0894936676000304e-05
hist_gradient_boosting,1,fold_2,2022,0.9564887833175388,0.8642774714707013,0.9056540396194253,0.9258962652782312,0.0323779070978046,0.306380432639965,0.112219451371571,0.1898133502056311,0.5547926310608418,0.0292562845862208,0.9568575001486808,0.8637004744197974,0.9052242566773055,0.9255784381962406,0.0325148510416123,0.3013809197883866,0.1076059850374064,0.1830134662283957,0.552520989224797,0.0293336063360724,0.0003687168311419242,-0.0005769970509039712,-0.00042978294211970525,-0.00031782708199057375,0.00013694394380769914,-0.004999512851578403,-0.004613466334164595,-0.0067998839772353825,-0.00227164183604478,7.73217498515992e-05
hist_gradient_boosting,1,fold_3,2023,0.9497366601233296,0.8536726755927893,0.8958729909531565,0.9207919122445454,0.0303619611947363,0.284240584632158,0.0920770877944325,0.1582700713135496,0.5448442977483247,0.0265225197181674,0.9499198265064864,0.8537100755479093,0.8957540320998313,0.9207759115372004,0.0303797421648946,0.2861876142888762,0.0889989293361884,0.1539708265802269,0.5433790202475048,0.0265131140482106,0.00018316638315685196,3.739995512008765e-05,-0.00011895885332524614,-1.6000707344976384e-05,1.778097015829941e-05,0.0019470296567181689,-0.003078158458244093,-0.004299244733322688,-0.0014652775008198171,-9.405669956798896e-06
hist_gradient_boosting,1,fold_4,2024,0.9763499395000388,0.9021249922933064,0.9286481169047532,0.9404412354142522,0.0374950103775037,0.3243044181296028,0.1006917755572636,0.1720773128166635,0.5485593381863821,0.0387143138154689,0.9760715923730272,0.9021969214328284,0.9284079073283952,0.940324549489372,0.0376545191185233,0.3169610877421888,0.0994839134731525,0.1696629213483146,0.5478624163926795,0.0388791469480654,-0.00027834712701158004,7.192913952192015e-05,-0.00024020957635806361,-0.0001166859248801222,0.0001595087410196025,-0.0073433303874140265,-0.001207862084111097,-0.002414391468348903,-0.0006969217937026206,0.0001648331325964994
hist_gradient_boosting,2,fold_1,2021,0.8384006187887212,0.698641765704584,0.7759793467280278,0.8443467389410856,0.029138073043634,0.2509699247757364,0.0954640614096301,0.1615684421873154,0.5464835962981245,0.0237848085053146,0.8394166369268536,0.6984396475058614,0.7765916803380003,0.8443304215961545,0.0291592078381817,0.2495939660486286,0.0928122819260293,0.1582203188198905,0.5452425516130894,0.0237720808202647,0.0010160181381324573,-0.00020211819872262282,0.0006123336099724819,-1.631734493112713e-05,2.113479454770098e-05,-0.0013759587271077733,-0.0026517794836007913,-0.0033481233674249045,-0.0012410446850350532,-1.2727685049899323e-05
hist_gradient_boosting,2,fold_2,2022,0.8983034181100406,0.7478847213667456,0.8205438281375043,0.8632667623147001,0.0578453681540313,0.3359654948863583,0.1192549243505566,0.2001916856355577,0.5571386997622373,0.050998216188365,0.899428638227641,0.7478523033034007,0.8203550758781327,0.8631974982349553,0.0578565727815343,0.3383241122981572,0.1126891236083357,0.190735036540436,0.553966575166188,0.0509920547621755,0.0011252201176004117,-3.241806334486341e-05,-0.0001887522593715385,-6.926407974483517e-05,1.120462750299478e-05,0.00235861741179888,-0.0065658007422208925,-0.0094566490951217,-0.0031721245960493194,-6.161426189504882e-06
hist_gradient_boosting,2,fold_3,2023,0.8844075438053657,0.7324245006153555,0.8046385855434217,0.8559035659280381,0.0533062913071689,0.3079034599637027,0.1036133415688696,0.1745577523413111,0.5492758542335495,0.0459073450085464,0.883912759299122,0.7337688156773644,0.804985200186945,0.8564339014899331,0.0534348445795366,0.3048699791831976,0.0984403953057442,0.1671911880409126,0.5468227050792516,0.0459660671821777,-0.0004947845062436285,0.0013443150620089384,0.00034661464352325755,0.0005303355618950789,0.0001285532723677013,-0.003033480780505138,-0.005172946263125408,-0.007366564300398504,-0.002453149154297951,5.8722173631300945e-05
hist_gradient_boosting,2,fold_4,2024,0.9430895350860458,0.8200938477580814,0.8692197170645447,0.8924818732079917,0.0662648598257193,0.3462057522089077,0.116516129032258,0.1944863234977385,0.5544613022606244,0.0661895531780224,0.9429791915262408,0.8201876955161627,0.8685752146426303,0.8921289066460572,0.0665572452424174,0.3450834093661615,0.1148387096774193,0.1919551385743556,0.553622592583205,0.0662346586915939,-0.00011034355980499289,9.384775808130019e-05,-0.0006445024219143836,-0.00035296656193450904,0.0002923854166981127,-0.0011223428427462045,-0.0016774193548386995,-0.0025311849233829176,-0.0008387096774193914,4.5105513571494504e-05
hist_gradient_boosting,3,fold_1,2021,0.7310750898103759,0.5610265225933202,0.6640988372093023,0.7741920444674517,0.0412698428767304,0.2316948016340938,0.0899689762150982,0.1526583611159852,0.5431986325828447,0.033388034724567,0.7320111367022013,0.5565242305173543,0.6627833292712649,0.7722226463938398,0.0412191688303022,0.2307951242909002,0.0814891416752843,0.1403633772711079,0.5391418799821383,0.0333428412047938,0.0009360468918253595,-0.0045022920759658636,-0.0013155079380373635,-0.001969398073611961,-5.0674046428195174e-05,-0.0008996773431936,-0.008479834539813894,-0.012294983844877316,-0.004056752600706481,-4.519351977320257e-05
hist_gradient_boosting,3,fold_2,2022,0.8249059913086986,0.6248339428927558,0.7236156088851746,0.7977219151011715,0.0825983818701763,0.3340335903564344,0.1118490406915454,0.1898117089315264,0.5526567153291108,0.070717531325712,0.8270119011174146,0.6223902383021993,0.7234237239670209,0.7970545487148726,0.0824252810013725,0.3398005492857706,0.1041534893527303,0.1788720919706707,0.549116345823326,0.0704713682783088,0.0021059098087160555,-0.002443704590556539,-0.00019188491815369524,-0.0006673663862989399,-0.00017310086880380215,0.005766958929336208,-0.007695551338815096,-0.010939616960855714,-0.003540369505784735,-0.00024616304740320005
hist_gradient_boosting,3,fold_3,2023,0.8029998628944107,0.6069796905593734,0.7062923004757756,0.7903006629455819,0.0750450203033859,0.2964960198782945,0.1026793431287813,0.1727832452610656,0.5477059329106786,0.0633877722984962,0.8018889271574008,0.6054823972050524,0.7049673129574789,0.7894954006162317,0.0753113704224761,0.291495932663203,0.0942091616248919,0.1606011492559304,0.5437610535008761,0.0635607539230185,-0.0011109357370099326,-0.0014972933543210276,-0.001324987518296683,-0.000805262329350187,0.00026635011909019457,-0.005000087215091487,-0.008470181503889396,-0.012182096005135201,-0.003944879409802482,0.00017298162452231147
hist_gradient_boosting,3,fold_4,2024,0.8988552127085949,0.7299996819034895,0.8011427108545894,0.8406004457565832,0.0948181670051266,0.3389874449566671,0.1133970829711194,0.1898217389546869,0.5513402174802682,0.0911646451365092,0.8988794152802972,0.7277093870280243,0.7997972276120056,0.8395532991028569,0.0950296250606086,0.3384683650677734,0.1084226794165942,0.1819729269676582,0.54873217516164,0.091202489088689,2.4202571702325315e-05,-0.002290294875465171,-0.001345483242583878,-0.0010471466537262941,0.0002114580554819917,-0.0005190798888937143,-0.004974403554525206,-0.007848811987028692,-0.002608042318628212,3.7843952179802964e-05
hist_gradient_boosting,4,fold_1,2021,0.5933898437580646,0.4153177395984268,0.5292395346996914,0.7000012658643071,0.0540894264447929,0.1779755163442505,0.0390314113961561,0.0712464260876284,0.5180816774290724,0.0432656156391703,0.5943849802763416,0.4106810184226868,0.5275753869063448,0.6980797682086168,0.0539587376552873,0.1782454000672503,0.0360680721361442,0.0666093346884528,0.5168465149006145,0.0432507078608909,0.0009951365182769845,-0.004636721175740044,-0.0016641477933466708,-0.001921497655690274,-0.00013068878950559665,0.00026988372299979746,-0.0029633392600119032,-0.004637091399175605,-0.0012351625284579004,-1.4907778279400763e-05
hist_gradient_boosting,4,fold_2,2022,0.7190248214850448,0.5000166112956811,0.6070096190687451,0.7285778718728781,0.1094853088090012,0.306161217970998,0.065295784322143,0.117893268224625,0.5299725894294466,0.0903068184092999,0.7225029221321897,0.4931229235880399,0.6041352924416948,0.7263067203980602,0.1090877367039008,0.3151357097573364,0.0601442431527431,0.1095215759849906,0.5276648906771666,0.0898617785359414,0.0034781006471449327,-0.006893687707641205,-0.0028743266270502277,-0.002271151474817934,-0.0003975721051003994,0.008974491786338412,-0.005151541169399899,-0.008371692239634396,-0.0023076987522799852,-0.00044503987335849093
hist_gradient_boosting,4,fold_3,2023,0.6944273845813731,0.4832433275495681,0.5905674088369489,0.7234218757931714,0.0977374953358562,0.2586584045801574,0.0515317026834481,0.0928819072893036,0.5226609235700111,0.0802889631463268,0.6906997729243781,0.4810987854093151,0.5884934120312407,0.7222755371641727,0.0983353916553142,0.2486767941488357,0.048302066017573,0.0871614672608844,0.5209420152627152,0.0808509385602763,-0.003727611656994978,-0.002144542140253003,-0.0020739968057081892,-0.001146338628998711,0.0005978963194580023,-0.009981610431321675,-0.003229636665875099,-0.005720440028419191,-0.00171890830729593,0.000561975413949492
hist_gradient_boosting,4,fold_4,2024,0.8368113859454384,0.6424401003373411,0.7224292531687894,0.7852152682165359,0.1250905271123471,0.3066409786815965,0.055488782051282,0.1008225959088592,0.5239466501600656,0.1148060761686868,0.8359445074287079,0.6418778652365712,0.7212182691782029,0.7844079071297942,0.1255375516744883,0.3043693692116062,0.0572516025641025,0.1028686606917899,0.5239366509130414,0.1150296920721654,-0.0008668785167305071,-0.0005622351007699145,-0.0012109839905865005,-0.0008073610867416203,0.000447024562141185,-0.002271609469990332,0.0017628205128204996,0.0020460647829307066,-9.999247024161662e-06,0.00022361590347860782
logistic_regression,1,fold_1,2021,0.8897133658479103,0.8338598104682314,0.8575717076179706,0.9115787604906695,0.0206316353610621,0.1432616642410657,0.0342149963601067,0.0645013723696248,0.5168920889809057,0.0148974618664752,0.8911299303372638,0.8341796953096885,0.8581300645798199,0.9117792418867272,0.0205965625589153,0.1534206355270422,0.0337296772628002,0.0636010066346373,0.5166474711668055,0.0148024105553813,0.0014165644893535667,0.0003198848414570632,0.000558356961849249,0.00020048139605766124,-3.5072802146800947e-05,0.010158971285976481,-0.0004853190973065011,-0.0009003657349875016,-0.0002446178141001232,-9.505131109389942e-05
logistic_regression,1,fold_2,2022,0.9341880221947162,0.8687652263110656,0.8877678871209453,0.9219360249690752,0.0404001869356571,0.2314458574782374,0.0680798004987531,0.1225451688923802,0.5332327996355122,0.0324829425292995,0.9336487331778044,0.8677554814719836,0.889314136942649,0.9220876610074388,0.0404725437858384,0.226615453645345,0.0683291770573566,0.1229526587390621,0.5333551484927448,0.0324028718380446,-0.0005392890169118036,-0.0010097448390820052,0.0015462498217037046,0.0001516360383635451,7.235685018130295e-05,-0.004830403832892405,0.0002493765586034924,0.00040748984668190213,0.00012234885723261257,-8.007069125490207e-05
logistic_regression,1,fold_3,2023,0.9234105562356584,0.8604794674246391,0.8774037315638437,0.9185325901425734,0.0378249519152706,0.216629146045977,0.0552730192719486,0.1006703229737964,0.526920856513043,0.0293379122372938,0.9202651624539314,0.8599558680529583,0.8787296855742498,0.9186915362612031,0.0379304912658976,0.1956463851836563,0.0548715203426124,0.100256755104536,0.5267715446165856,0.0293573774260031,-0.0031453937817269573,-0.000523599371680783,0.0013259540104061385,0.00015894611862976582,0.00010553935062700137,-0.020982760862320704,-0.00040149892933620535,-0.00041356786926040334,-0.00014931189645739362,1.9465188709301418e-05
