regiao,semana_epidemiologica,anos_disponiveis,casos_media,casos_mediana,incidencia_media_100mil,incidencia_mediana_100mil,incidencia_q25_100mil,incidencia_q75_100mil,incidencia_minima_100mil,incidencia_maxima_100mil
Norte,1,10,1123.5,1067.0,6.187379186579688,5.864530309734473,4.965094087171905,7.881674699158433,1.4409655393091274,11.161123289559296
Norte,2,10,1224.0,1332.0,6.7418453232066415,7.310746851636349,5.842234776429748,7.858127826997618,1.6004617249578477,11.207219823537859
Norte,3,10,1367.0,1446.0,7.520866369700454,8.013894752776979,6.573695332111489,9.241322134219052,1.9634530440204523,10.723206216762959
Norte,4,10,1347.1,1473.5,7.420035485955336,8.131154460541877,6.800926203568429,8.44218217585514,1.7544580421359224,9.973015820218714
Norte,5,10,1451.5,1585.5,7.993799727912378,8.610656837442061,7.338315437239309,9.731430813464094,1.8094567268423776,11.051644021360211
Norte,6,10,1469.4,1526.0,8.084514863078434,8.466512109116746,6.531103110032708,10.184210316251932,1.8589555430781874,11.164582263064778
Norte,7,10,1527.9,1457.5,8.39756292720158,7.82875325128332,6.399248636015976,9.957827846088584,2.1559484404930456,14.044671769469955
Norte,8,10,1410.8,1337.5,7.739893154193676,7.415024279776284,5.072014546651847,8.833302029031355,1.9579531755498067,16.05841019060926
Norte,9,10,1449.6,1429.5,7.96469357084936,7.909733401050536,5.2163738230823125,9.393080805425903,2.3649434423775753,16.968993823832598
Norte,10,10,1379.5,1397.0,7.5798055277690795,7.409979858364582,5.123746682376298,8.692077688332576,2.5079400226143593,16.25659604019316
Norte,11,10,1296.8,1212.5,7.11970330824275,6.721543641035121,5.393563043102438,7.838011988232613,2.639936865909852,14.3068757902326
Norte,12,10,1179.1,1179.0,6.485080425427391,6.596503208009242,4.777813623193437,7.511380811430082,2.370443310848221,12.705319870622134
Norte,13,10,1074.7,1058.0,5.9233444200166945,5.920823965354979,3.8767679324689093,7.936756916504262,2.084450150374654,10.284238681110665
Norte,14,10,1080.8,962.0,5.9506161100421044,5.369684073278313,3.842037983487863,7.756111625868897,2.308196007720621,11.826874483277265
Norte,15,10,1014.8,957.5,5.602386793253501,5.143710631441914,3.600087601729483,7.712086195327025,2.4313712007080324,9.92000522782133
Norte,16,10,939.9,879.5,5.185304683773655,4.876797430750797,3.0200467219854445,6.238431743385714,2.2934451522591837,9.973568970952114
Norte,17,10,831.5,775.5,4.585704500666116,4.329036971948712,2.513555059176358,5.931140983911772,1.8809550169607692,8.52785878603395
Norte,18,10,819.8,804.5,4.528753428806466,4.438766153064359,2.9586567932058516,5.229504607605487,2.276945546847247,9.132875794502572
Norte,19,10,762.7,655.5,4.207375732718335,3.598786304833746,2.8483273081062017,5.030475907617755,2.1449487035517545,8.487524318802706
Norte,20,10,687.1,627.5,3.786523660819801,3.57803184984378,2.7139321949572563,4.434596275780592,1.8259563322543142,7.242917901381536
Norte,21,10,582.3,489.5,3.2059174759230373,2.769292046459741,2.5851423522908212,3.801675290886836,1.4959642240155826,6.113552818906769
Norte,22,10,513.1,474.0,2.8276725755626693,2.588488971015325,2.162841036557115,3.263763704415618,1.1934714581300787,5.877308082266641
Norte,23,10,465.1,413.5,2.5585387593079303,2.3567773052839134,1.7264561378493226,3.177036935407499,1.1934714581300787,4.719132666055273
Norte,24,10,413.2,376.0,2.273168427526582,2.1436280289958116,1.5792516548780406,2.454090783583842,1.1494725103649146,4.079543257102727
Norte,25,10,374.9,349.0,2.0627905026536535,1.927711581940937,1.4326716658267284,2.4129513475131747,0.8689792183619929,3.624339984064428
Norte,26,10,333.3,312.0,1.8345204775742645,1.7481948167183514,1.1909621081525668,2.058484864082761,0.692983427301336,3.3708090471823375
Norte,27,10,329.0,296.5,1.8071284532275953,1.6911130950040785,1.07809910597242,1.9346996900426516,0.7589818489490824,3.8298076338511073
Norte,28,10,304.5,282.0,1.6744631256437514,1.543449788377591,0.90949774612825,2.089843335928906,0.8530234468268949,3.379872191552516
Norte,29,10,279.9,260.5,1.5376963263257486,1.4638094405163287,0.8809274330260495,1.779248151587692,0.7541649982800698,3.235250085099397
Norte,30,10,263.8,220.5,1.448715961911875,1.2045620441243332,0.967551470942918,1.9336034827581754,0.8084806651848921,2.8067401400531193
Norte,31,10,277.7,228.0,1.5232185323586207,1.2861424492204372,0.9729771184125589,1.8809697209899083,0.7711838169646622,3.3209520741086522
Norte,32,10,254.7,203.0,1.3968719891513337,1.0922299821513042,0.9555255666314599,1.683964006904339,0.6319422944571538,2.983500492384709
Norte,33,10,248.9,226.5,1.368080510753156,1.2368336521816317,0.9236898449359527,1.7848001749824431,0.6727802862354578,2.5389214243991955
Norte,34,10,233.0,184.0,1.2792750397298902,1.0161784106943155,0.8421081118620494,1.6652372899755479,0.6372977376305196,2.6621180336000005
Norte,35,10,224.5,178.5,1.2322746967499174,0.9615940280039661,0.8437027188607462,1.6421890229862672,0.6747858398440795,2.410368440885312
Norte,36,10,209.4,177.0,1.1476499398566837,0.962847301354173,0.7552967665537995,1.3382400020651248,0.6051650785903253,2.0743266336838095
Norte,37,10,247.1,202.0,1.3591400154761262,1.0907355313363545,1.004110513932327,1.8654691094449263,0.46056811290945104,2.3139537032499
Norte,38,10,244.4,224.5,1.3447913059917536,1.227446813561456,0.947239745978794,1.9019125505317012,0.5034116582963768,2.2175389656144873
Norte,39,10,240.7,209.0,1.326865614748956,1.1418648577619293,0.919642477594188,1.666555824518405,0.701563055710908,2.587167969546786
Norte,40,10,250.6,248.5,1.3805301969864083,1.3989677029864023,0.900244142474417,1.7293037547926027,0.6747858398440795,2.4661645678530606
Norte,41,10,271.8,269.5,1.4970012136981374,1.5123673546565606,1.0919308675471966,1.7835741069413973,0.664074953497348,2.6793610375039094
Norte,42,10,300.7,320.5,1.653668135505249,1.72728293461164,1.0663929090994928,2.1779462473444218,0.7711838169646622,2.523785235326263
Norte,43,10,309.8,314.5,1.7008356340701627,1.6682542949400407,1.07782554447603,2.2167799611142405,0.6969145807409273,2.962403518423871
Norte,44,10,342.4,342.0,1.8796501812353714,1.8133020183155257,1.1639362924109091,2.562566425953284,0.7526677472002015,3.184855064679143
Norte,45,10,406.4,372.5,2.230628101354209,2.0698968395222153,1.154163918959998,2.8027504054496184,0.9533791464535885,4.660631176421438
Norte,46,10,486.9,430.5,2.6685905110260415,2.3929401689251404,1.4686493127394735,3.3782344830211417,0.947803829807661,5.371390994944382
Norte,47,10,575.7,557.0,3.1587770219573934,3.094660219366952,1.5521573463806815,4.308934640347054,1.1373645957691931,6.168961172981578
Norte,48,10,656.1,523.0,3.590396249264839,2.915991878413339,1.9600120289588536,4.47884691215407,1.2209943454581045,8.467780281147231
Norte,49,10,726.0,584.0,3.9626505055131305,3.2866496957092792,2.143796242560389,4.356136345511329,1.2377202953958868,10.255481552245147
Norte,50,10,804.6,641.5,4.398476758782236,3.4733990575657243,2.356546105675646,5.2261945398194545,1.2544462453336689,11.678237889302364
Norte,51,10,736.7,669.5,4.03734725813626,3.6030047020198115,2.3805107166610395,5.265084562487724,1.0648854793721367,8.896193899368921
Norte,52,10,507.8,511.0,2.7863836601713707,2.8401171611613045,1.7754055553840113,3.443646106216131,1.1429399124151207,4.698610708708924
Norte,53,2,358.5,358.5,1.911678567692674,1.911678567692674,1.6707909474906593,2.1525661878946885,1.4299033272886446,2.3934538080967034
Nordeste,1,10,1645.7,955.0,2.902463792767719,1.6921049715333512,1.5081826775845846,2.0788652782489074,0.923172655485002,14.047032451508835
Nordeste,2,10,1899.1,1205.0,3.3479475378982415,2.102616047039663,1.805039616223305,2.43241447865014,1.0253558883440292,16.07809805675514
Nordeste,3,10,2146.9,1424.5,3.783259613497991,2.485531668415721,2.0584166396012895,2.8420276567090967,1.1222537815724167,17.57328562601518
Nordeste,4,10,2545.5,1626.0,4.484795091410975,2.840214379658108,2.1575311385226996,3.3887417009054905,1.0094998694521111,21.545811000982223
Nordeste,5,10,3091.9,1807.5,5.447914129342779,3.1617792640349034,2.9031292154835957,3.9966344716440783,1.2068192156626458,24.458879144146906
Nordeste,6,10,3855.4,2041.5,6.790226257610675,3.565978390987482,3.4506762381555047,4.519569394268886,1.268481511353438,31.50787153882526
Nordeste,7,10,4818.1,2505.5,8.478818091195496,4.477418663115706,3.898768327566213,5.177054196552503,1.5486045117773224,38.832709348749006
Nordeste,8,10,5428.2,2594.0,9.55058067698302,4.623140263341944,4.445970900274874,5.253162838962731,1.6877851220508246,37.040592638237555
Nordeste,9,10,6117.2,2771.5,10.76756058645291,4.963929162840328,3.6689738622881856,6.80568944124039,2.168751028439003,37.708243961761426
Nordeste,10,10,6462.0,3138.0,11.377214489518753,5.620037333341714,4.1984956465640835,8.075298289149691,2.334358336865702,37.54195958768524
