modelo,horizonte,fold,treino_inicio,treino_fim,validacao_ano,linhas_treino,positivos_treino,prevalencia_treino,linhas_validacao,threshold,tempo_treinamento_segundos,tempo_predicao_segundos,geral_observacoes,geral_positivos,geral_negativos,geral_prevalencia,geral_pr_auc_average_precision,geral_roc_auc,geral_recall,geral_precision,geral_f1,geral_balanced_accuracy,geral_brier_score,geral_tn,geral_fp,geral_fn,geral_tp,early_warning_observacoes,early_warning_positivos,early_warning_negativos,early_warning_prevalencia,early_warning_pr_auc_average_precision,early_warning_roc_auc,early_warning_recall,early_warning_precision,early_warning_f1,early_warning_balanced_accuracy,early_warning_brier_score,early_warning_tn,early_warning_fp,early_warning_fn,early_warning_tp
logistic_regression,1,fold_1,2018,2020,2021,868764,136119,0.1566812160724892,284019,0.5,5.297398900000189,0.07931509999980335,284019,25009,259010,0.08805396822043596,0.8911299303372638,0.9643046219279363,0.8341796953096885,0.8834963791132003,0.8581300645798199,0.9117792418867272,0.020596562558915385,256259,2751,4147,20862,259449,4121,255328,0.015883661143423176,0.1534206355270422,0.8048130962839879,0.03372967726280029,0.556,0.06360100663463739,0.5166474711668055,0.014802410555381345,255217,111,3982,139
hist_gradient_boosting,1,fold_1,2018,2020,2021,868764,136119,0.1566812160724892,284019,0.5,11.092518999999811,0.6836397999995825,284019,25009,259010,0.08805396822043596,0.9286521570491758,0.9797778567832641,0.830740933264025,0.9331656485806683,0.8789795443487826,0.9124979906658336,0.016548372703796645,257522,1488,4233,20776,259449,4121,255328,0.015883661143423176,0.245847951905486,0.8898285462142965,0.08056297015287552,0.5627118644067797,0.14094672044151985,0.5397762525911639,0.01349574484975013,255070,258,3789,332
logistic_regression,1,fold_2,2018,2021,2022,1158352,161367,0.1393073953340608,284019,0.5,7.244115899999088,0.07806600000003527,284019,62392,221627,0.21967544424844818,0.9336487331778044,0.9649285684632303,0.8677554814719836,0.911971297185305,0.889314136942649,0.9220876610074389,0.04047254378583848,216401,5226,8251,54141,221748,8020,213728,0.03616718076374984,0.22661545364534502,0.7840878639440663,0.06832917705735661,0.6129753914988815,0.12295265873906215,0.5333551484927448,0.032402871838044696,213382,346,7472,548
hist_gradient_boosting,1,fold_2,2018,2021,2022,1158352,161367,0.1393073953340608,284019,0.5,12.960735799999384,0.7164702999998553,284019,62392,221627,0.21967544424844818,0.9568575001486809,0.978349015467112,0.8637004744197974,0.9509423307686878,0.9052242566773055,0.9255784381962406,0.03251485104161236,218847,2780,8504,53888,221748,8020,213728,0.03616718076374984,0.30138091978838666,0.8642464252463988,0.10760598503740648,0.6116229624379872,0.1830134662283957,0.552520989224797,0.029333606336072467,213180,548,7157,863
logistic_regression,1,fold_3,2018,2022,2023,1447940,224436,0.15500366037266738,284019,0.5,8.318063700000494,0.0781650000008085,284019,53476,230543,0.1882831782380756,0.9202651624539314,0.9638822999070433,0.8599558680529583,0.898341505342736,0.8787296855742498,0.9186915362612033,0.03793049126589761,225339,5204,7489,45987,231044,7472,223572,0.03234016031578401,0.19564638518365632,0.7893289678301278,0.05487152034261242,0.57991513437058,0.10025675510453601,0.5267715446165856,0.02935737742600314,223275,297,7062,410
hist_gradient_boosting,1,fold_3,2018,2022,2023,1447940,224436,0.15500366037266738,284019,0.5,16.353476000000228,0.7106667999996716,284019,53476,230543,0.1882831782380756,0.9499198265064864,0.9780394411815746,0.8537100755479093,0.9421537064553409,0.8957540320998313,0.9207759115372005,0.030379742164894606,227740,2803,7823,45653,231044,7472,223572,0.03234016031578401,0.28618761428887624,0.8710349679063287,0.08899892933618844,0.5703259005145798,0.1539708265802269,0.5433790202475048,0.02651311404821062,223071,501,6807,665
logistic_regression,1,fold_4,2018,2023,2024,1737528,278541,0.160308783513129,284019,0.5,9.230823300000338,0.06918820000100823,284019,97318,186701,0.3426460905784472,0.9608651562295385,0.9716972996077342,0.9058550319570892,0.9254154375872603,0.9155307691908255,0.9338997657254662,0.047718259976332174,179596,7105,9162,88156,186544,9107,177437,0.04881958143923149,0.24877238239257093,0.7912736236760278,0.07422861535082903,0.5868055555555556,0.1317867238522273,0.5357729865304448,0.043292764555209494,176961,476,8431,676
hist_gradient_boosting,1,fold_4,2018,2023,2024,1737528,278541,0.160308783513129,284019,0.5,19.68079079999916,0.7686775000001944,284019,97318,186701,0.3426460905784472,0.9760715923730272,0.9824379065666956,0.9021969214328285,0.9561874475893839,0.9284079073283952,0.940324549489372,0.037654519118523355,182678,4023,9518,87800,186544,9107,177437,0.04881958143923149,0.31696108774218884,0.8609639458984708,0.09948391347315252,0.5759694850603941,0.1696629213483146,0.5478624163926795,0.038879146948065435,176770,667,8201,906
logistic_regression,2,fold_1,2018,2020,2021,863195,135934,0.1574777425726516,278450,0.5,3.9965510000001814,0.07460750000063854,278450,24738,253712,0.08884180283713414,0.7752669310701804,0.9219703016719083,0.6979545638289272,0.802696420269642,0.7466701262757308,0.8406134678260484,0.03500545476639126,249468,4244,7472,17266,254675,7165,247510,0.028133896142141946,0.15964913466252073,0.7590623210103546,0.035868806699232376,0.5538793103448276,0.06737449206973391,0.5175162384269868,0.025950047403047894,247303,207,6908,257
hist_gradient_boosting,2,fold_1,2018,2020,2021,863195,135934,0.1574777425726516,278450,0.5,10.473315100000036,0.7648351999996521,278450,24738,253712,0.08884180283713414,0.8394166369268536,0.9515405894398892,0.6984396475058614,0.8744369654334734,0.7765916803380003,0.8443304215961545,0.02915920783818176,251231,2481,7460,17278,254675,7165,247510,0.028133896142141946,0.24959396604862866,0.8536251651233445,0.0928122819260293,0.5358581788879936,0.15822031881989054,0.5452425516130894,0.023772080820264788,246934,576,6500,665
logistic_regression,2,fold_2,2018,2021,2022,1152783,161182,0.139819896719504,278450,0.5,5.906052999998792,0.06946880000032252,278450,61694,216756,0.22156221942898185,0.858206491180303,0.9249461771698593,0.7484034103802639,0.8566869526495473,0.7988926377714335,0.8563844360026585,0.0697880042250775,209032,7724,15522,46172,217125,14012,203113,0.0645342544617156,0.25810978313266947,0.7467498634608725,0.06694262061090493,0.6554856743535988,0.12147898724341126,0.53225770014756,0.05607830128287232,202620,493,13074,938
hist_gradient_boosting,2,fold_2,2018,2021,2022,1152783,161182,0.139819896719504,278450,0.5,13.604373599999235,0.7652906000002986,278450,61694,216756,0.22156221942898185,0.899428638227641,0.9485331573912925,0.7478523033034007,0.908425052668885,0.8203550758781327,0.8631974982349553,0.057856572781534374,212105,4651,15556,46138,217125,14012,203113,0.0645342544617156,0.33832411229815723,0.8296225507118442,0.11268912360833572,0.6204322200392928,0.19073503654043608,0.553966575166188,0.050992054762175575,202147,966,12433,1579
