dimensao,grupo,horizonte,subconjunto,threshold,observacoes,municipios,positivos,negativos,prevalencia,average_precision,roc_auc,brier_score,precision,recall,f1,balanced_accuracy,alertas,proporcao_alertas,tn,fp,fn,tp
quartil_epidemiologico,Q1,1,geral,0.187687,72436,1393,8615,63821,0.11893257496272572,0.8939482891172927,0.9579756318053041,0.028044576805969994,0.7477687626774848,0.8558328496807893,0.7981596752368065,0.9084322425179616,9860,0.13612016124578938,61334,2487,1242,7373
quartil_epidemiologico,Q1,1,early_warning,0.187687,63867,1393,1751,62116,0.02741634960151565,0.19420603178230214,0.8147885991313613,0.024230906045927297,0.25289403383793413,0.32438606510565393,0.2842131598699025,0.6486860456251433,2246,0.03516683107081905,60438,1678,1183,568
quartil_epidemiologico,Q2,1,geral,0.187687,72384,1392,8790,63594,0.12143567639257294,0.9195254051201545,0.9762941329351017,0.0260284565851341,0.734885467517837,0.8905574516496019,0.805266947844872,0.9230753733072679,10652,0.14715959328028294,60770,2824,962,7828
quartil_epidemiologico,Q2,1,early_warning,0.187687,63613,1391,1567,62046,0.024633329665319982,0.2498593984927001,0.8908604946150149,0.020889284276081003,0.25824175824175827,0.419910657306956,0.31980558930741193,0.694724693318404,2548,0.040054705799129106,60156,1890,909,658
quartil_epidemiologico,Q3,1,geral,0.187687,72384,1392,9776,62608,0.13505747126436782,0.932121818254701,0.9808618432389746,0.02744028271326794,0.7421823020625415,0.912847790507365,0.8187155963302752,0.9316666757290211,12024,0.16611405835543766,59508,3100,852,8924
quartil_epidemiologico,Q3,1,early_warning,0.187687,62555,1391,1633,60922,0.026105027575733356,0.3054608825704226,0.9137298085655108,0.02098568316066642,0.2993882691615689,0.5094917330067361,0.37715321849501365,0.7387664173716915,2779,0.04442490608264727,58975,1947,801,832
quartil_epidemiologico,Q4,1,geral,0.187687,72384,1392,9401,62983,0.12987676834659592,0.9380077344557503,0.9851702815453367,0.025496371868950565,0.7296890672016049,0.9286246144027231,0.817224432483033,0.9386387127393638,11964,0.16528514588859416,59749,3234,671,8730
quartil_epidemiologico,Q4,1,early_warning,0.187687,62832,1392,1435,61397,0.02283868092691622,0.308460955987384,0.9326134492605644,0.018419976689754074,0.2790373212417161,0.5574912891986062,0.3719200371920037,0.7619125745795954,2867,0.04562961548255666,59330,2067,635,800
quartil_epidemiologico,Q1,2,geral,0.190783,71043,1393,8494,62549,0.11956139239615445,0.7733778672042231,0.906907505824593,0.04860208153812678,0.633211307707952,0.7331057216858959,0.6795067656045395,0.837719466224329,9834,0.13842320847937165,58942,3607,2267,6227
quartil_epidemiologico,Q1,2,early_warning,0.190783,62634,1393,2995,59639,0.047817479324328636,0.21459141270073484,0.7716389968010366,0.04156917593752497,0.3013986013986014,0.28781302170283807,0.2944491887275833,0.6271557269683894,2860,0.045662100456621,57641,1998,2133,862
quartil_epidemiologico,Q2,2,geral,0.190783,70992,1392,8621,62371,0.12143621816542709,0.8184868769996883,0.9416509044346223,0.04455457113255363,0.6150075750824348,0.8004871824614314,0.6955952020965629,0.8656121118572889,11221,0.15806006310570206,58051,4320,1720,6901
quartil_epidemiologico,Q2,2,early_warning,0.190783,62409,1391,2627,59782,0.04209328782707622,0.2628002057333646,0.8477078219879648,0.03526887233434409,0.2890774705721325,0.40197944423296533,0.33630573248407647,0.6792691373250739,3653,0.058533224374689545,57185,2597,1571,1056
quartil_epidemiologico,Q3,2,geral,0.190783,70992,1392,9536,61456,0.1343249943655623,0.8397759380887898,0.9499497927133222,0.04664350643873843,0.6217228464419475,0.8355704697986577,0.712956335003579,0.8783423814757412,12816,0.18052738336713997,56608,4848,1568,7968
quartil_epidemiologico,Q3,2,early_warning,0.190783,61358,1391,2716,58642,0.04426480654519378,0.3057997487462755,0.8693031300632041,0.035690694678253296,0.31087957354010176,0.4723858615611193,0.3749817331579716,0.711944098885331,4127,0.06726099286156655,55798,2844,1433,1283
