modelo,horizonte,threshold,linhas_treino,linhas_teste,geral_observacoes,geral_positivos,geral_negativos,geral_prevalencia,geral_pr_auc_average_precision,geral_roc_auc,geral_recall,geral_precision,geral_f1,geral_balanced_accuracy,geral_brier_score,geral_matriz_confusao_tn,geral_matriz_confusao_fp,geral_matriz_confusao_fn,geral_matriz_confusao_tp,early_warning_observacoes,early_warning_positivos,early_warning_negativos,early_warning_prevalencia,early_warning_pr_auc_average_precision,early_warning_roc_auc,early_warning_recall,early_warning_precision,early_warning_f1,early_warning_balanced_accuracy,early_warning_brier_score,early_warning_matriz_confusao_tn,early_warning_matriz_confusao_fp,early_warning_matriz_confusao_fn,early_warning_matriz_confusao_tp,early_warning_alertas,early_warning_proporcao_alertas
hist_gradient_boosting,1,0.187687,2027116.0,289588,289588,36582,253006,0.12632429520560245,0.9220944722237334,0.9764527270196861,0.8981192936416817,0.738314606741573,0.8104141486396488,0.9260463585984271,0.026752654019693126,241361,11645,3727,32855,252867,6386,246481,0.025254382738751992,0.261907536686845,0.8907113618675112,0.4475414970247416,0.2737547892720307,0.33971234993462496,0.7083902526526493,0.02114356045895943,238899,7582,3528,2858,10440.0,0.041286526118473346
persistence,1,0.5,,289588,289588,36582,253006,0.12632429520560245,0.7008130306137248,0.8998216854893548,0.8254332731944672,0.8223087606546663,0.8238680545134578,0.8998216854893548,0.0445840297249886,246481,6525,6386,30196,252867,6386,246481,0.025254382738751992,0.025254382738751992,0.5,0.0,0.0,0.0,0.5,0.025254382738751992,246481,0,6386,0,,
hist_gradient_boosting,2,0.190783,2021547.0,284019,284019,35737,248282,0.1258260890996729,0.8225033767482374,0.9418791237128363,0.8101687326860117,0.6163491218733369,0.7000918850952703,0.8687909580411556,0.045808870222037903,230260,18022,6784,28953,248006,10674,237332,0.0430392813077103,0.26856865883586545,0.8467993428909404,0.41455874086565486,0.2933766492077173,0.3435959156734092,0.6848255926026149,0.035942479364716534,226674,10658,6249,4425,15083.0,0.06081707700620146
persistence,2,0.5,,284019,284019,35737,248282,0.1258260890996729,0.5256594113528358,0.8286074427178487,0.7013179617763102,0.6959431316469052,0.6986202090592335,0.8286074427178487,0.07613575148141498,237332,10950,10674,25063,248006,10674,237332,0.0430392813077103,0.0430392813077103,0.5,0.0,0.0,0.0,0.5,0.0430392813077103,237332,0,10674,0,,
hist_gradient_boosting,3,0.167991,2015978.0,278450,278450,34849,243601,0.12515352846112407,0.7035131448518538,0.8977860299985567,0.7446985566300324,0.46880306369449765,0.5753877193565909,0.8119923832283786,0.06298408291345335,214195,29406,8897,25952,243247,14079,229168,0.05787943941754677,0.24260550149029125,0.8030272920432129,0.38639107891185454,0.2499310851787191,0.30352908355419167,0.6575753830641099,0.04943116271066189,212842,16326,8639,5440,21766.0,0.08948106245914647
persistence,3,0.5,,278450,278450,34849,243601,0.12515352846112407,0.4022058661283503,0.7683756799833644,0.5959998852190881,0.5900065335340738,0.5929880660081083,0.7683756799833643,0.10239540312443886,229168,14433,14079,20770,243247,14079,229168,0.05787943941754677,0.05787943941754677,0.5,0.0,0.0,0.0,0.5,0.05787943941754677,229168,0,14079,0,,
hist_gradient_boosting,4,0.157138,2010409.0,272881,272881,33889,238992,0.12418966509210974,0.5462114795711439,0.8413993917592764,0.7079583345628375,0.34122198202298326,0.4604946209729273,0.7570721578417723,0.08082625774182406,192672,46320,9897,23992,238547,16868,221679,0.07071143212867904,0.18520913969414854,0.7536819552021665,0.41664690538297366,0.19325212417851348,0.26403681788297173,0.6421489390929953,0.0628626299699864,192340,29339,9840,7028,36367.0,0.15245213731465918
persistence,4,0.5,,272881,272881,33889,238992,0.12418966509210974,0.3108074039684691,0.7149078071377019,0.5022573696479684,0.49574765538533233,0.49898128197235536,0.7149078071377017,0.125259728599646,221679,17313,16868,17021,238547,16868,221679,0.07071143212867904,0.07071143212867904,0.5,0.0,0.0,0.0,0.5,0.07071143212867904,221679,0,16868,0,,
