codigo_uf_ibge,nome_uf_ibge,regiao,anos_disponiveis,anos_com_casos,casos_periodo,populacao_media,incidencia_media_anual_100mil,incidencia_mediana_anual_100mil,incidencia_maxima_anual_100mil,ano_maior_incidencia,incidencia_ano_pico_100mil,participacao_casos_periodo
11,Rondônia,Norte,10,10,50572,1740018.8,301.81346982283605,183.89380119845316,902.2916830045104,2022,902.2916830045104,0.0031035452597997916
12,Acre,Norte,10,10,69598,862389.1,795.1382254375621,848.7474183851022,1647.4137588821404,2021,1647.4137588821404,0.0042711489162292554
13,Amazonas,Norte,10,10,57674,4125424.9,139.573785752208,140.10289358051378,202.90997239331224,2024,202.90997239331224,0.003539386801267365
14,Roraima,Norte,10,10,4291,623206.7,68.40110820189823,47.97468356923078,264.95598098920203,2019,264.95598098920203,0.0002633337164794927
15,Pará,Norte,10,10,86634,8483934.7,101.75504876805603,73.91506368554892,242.99695786367658,2024,242.99695786367658,0.005316628569910131
16,Amapá,Norte,10,10,18634,807150.0,233.6494955806604,102.10353532832791,1331.6526268719554,2024,1331.6526268719554,0.00114354706895336
17,Tocantins,Norte,10,10,71839,1559592.3,463.1839438497694,292.21172835452626,1369.9998676776097,2022,1369.9998676776097,0.004408676499224022
21,Maranhão,Nordeste,10,10,71912,6991493.0,103.27973912621553,81.16222336587713,340.5648173233501,2016,340.5648173233501,0.00441315642495299
22,Piauí,Nordeste,10,10,90234,3284255.6,273.9155060173017,197.58708467850573,966.0677934910105,2022,966.0677934910105,0.00553755641407843
23,Ceará,Nordeste,10,10,243962,9071193.9,270.27518075133855,220.04254463659862,552.9882147510455,2016,552.9882147510455,0.014971666310829643
24,Rio Grande do Norte,Nordeste,10,10,207083,3456969.7,602.27249981034,392.1219992620436,1630.3894275622604,2016,1630.3894275622604,0.01270844465386222
25,Paraíba,Nordeste,10,10,150523,4039766.0,373.83357560614235,311.79191554396755,883.3541905503679,2016,883.3541905503679,0.009237422746595824
26,Pernambuco,Nordeste,10,10,240754,9444310.3,253.86194990605782,215.8021985478272,633.8137129216215,2016,633.8137129216215,0.014774795054137448
27,Alagoas,Nordeste,10,10,118621,3280817.5,365.35009837260174,239.7954636092366,1075.7803779986655,2022,1075.7803779986655,0.007279633834191075
28,Sergipe,Nordeste,10,10,23527,2279870.5,103.89646407186964,81.5975268500912,259.75596599115323,2019,259.75596599115323,0.0014438248304854404
29,Bahia,Nordeste,10,10,610750,14822728.4,412.09290172997845,295.6767489113345,1565.07051305231,2024,1565.07051305231,0.03748102245160806
31,Minas Gerais,Sudeste,10,10,3477656,21082724.8,1645.3188636140305,597.046060836931,7778.127066607119,2024,7778.127066607119,0.2134197341219312
32,Espírito Santo,Sudeste,10,10,459902,4005005.8,1153.7943078132278,559.4520049648568,3571.6037094074877,2023,3571.6037094074877,0.028223654830191482
33,Rio de Janeiro,Sudeste,10,10,543506,16916296.7,320.0624536259392,129.75131438579163,1754.9746426748143,2024,1754.9746426748143,0.033354335797926626
35,São Paulo,Sudeste,10,10,4796152,45511848.6,1048.6200103725623,601.3157519607998,4745.956959179299,2024,4745.956959179299,0.2943343115731885
41,Paraná,Sul,10,10,1530332,11506477.2,1314.6536155876906,727.4612202049857,5478.396216721573,2024,5478.396216721573,0.09391470822826731
42,Santa Catarina,Sul,10,10,624858,7420916.3,796.8318471669794,209.99573017182854,4155.791424172492,2024,4155.791424172492,0.038346814125365385
43,Rio Grande do Sul,Sul,10,10,436379,11243495.0,391.2767494042006,64.90685085271556,2001.5022375503288,2024,2001.5022375503288,0.02678007547508845
50,Mato Grosso do Sul,Centro-Oeste,10,10,284417,2791167.6,1023.8068882482117,803.7146485086723,2353.1604693222635,2019,2353.1604693222635,0.01745434295967091
51,Mato Grosso,Centro-Oeste,10,10,247584,3571734.9,681.6178169220733,704.3587624837972,1119.8001042123096,2024,1119.8001042123096,0.015193944269601195
52,Goiás,Centro-Oeste,10,10,1251443,7062137.3,1761.5264257938622,1374.9537662560429,4551.428797264071,2024,4551.428797264071,0.07679961224708595
53,Distrito Federal,Centro-Oeste,10,10,526076,2977058.4,1778.1622351565843,937.2225690954615,9316.59256448097,2024,9316.59256448097,0.03228467681907844
