horizonte,ano_avaliacao,calibracao_ano_inicio,calibracao_ano_fim,calibracao_anos,calibracao_observacoes,metodo,geral_observacoes,geral_positivos,geral_prevalencia,geral_brier_score,geral_average_precision,early_warning_observacoes,early_warning_positivos,early_warning_prevalencia,early_warning_brier_score,early_warning_average_precision,delta_brier_geral_vs_raw
1,2022,2021,2021,1,284019,raw,284019,62392,0.21967544424844818,0.0323779070978046,0.9564887833175388,221748,8020,0.03616718076374984,0.02925628458622088,0.306380432639965,0.0
1,2022,2021,2021,1,284019,sigmoid,284019,62392,0.21967544424844818,0.03259743302201618,0.9564887833175388,221748,8020,0.03616718076374984,0.029442126348324528,0.306380432639965,0.00021952592421158046
1,2022,2021,2021,1,284019,isotonic,284019,62392,0.21967544424844818,0.032805871051047625,0.9544755658906587,221748,8020,0.03616718076374984,0.02944546562787641,0.2975773458202227,0.00042796395324302267
1,2023,2021,2022,2,568038,raw,284019,53476,0.1882831782380756,0.030361961194736387,0.9497366601233296,231044,7472,0.03234016031578401,0.026522519718167412,0.284240584632158,0.0
1,2023,2021,2022,2,568038,sigmoid,284019,53476,0.1882831782380756,0.03038263937512263,0.9497366601233295,231044,7472,0.03234016031578401,0.02654321581206755,0.284240584632158,2.0678180386243805e-05
1,2023,2021,2022,2,568038,isotonic,284019,53476,0.1882831782380756,0.030327000839497777,0.9479305783196011,231044,7472,0.03234016031578401,0.02648535263847139,0.2756126966163473,-3.496035523860991e-05
1,2024,2021,2023,3,852057,raw,284019,97318,0.3426460905784472,0.03749501037750374,0.9763499395000387,186544,9107,0.04881958143923149,0.038714313815468915,0.32430441812960287,0.0
1,2024,2021,2023,3,852057,sigmoid,284019,97318,0.3426460905784472,0.03753480726490862,0.9763499395000386,186544,9107,0.04881958143923149,0.038690072865885744,0.32430441812960287,3.979688740488041e-05
1,2024,2021,2023,3,852057,isotonic,284019,97318,0.3426460905784472,0.03742432010642836,0.9755794881349792,186544,9107,0.04881958143923149,0.03866292701636466,0.3170963298827868,-7.069027107537568e-05
2,2022,2021,2021,1,278450,raw,278450,61694,0.22156221942898185,0.057845368154031386,0.8983034181100406,217125,14012,0.0645342544617156,0.05099821618836504,0.33596549488635835,0.0
2,2022,2021,2021,1,278450,sigmoid,278450,61694,0.22156221942898185,0.058426748560757906,0.8983034181100406,217125,14012,0.0645342544617156,0.051552372969125744,0.33596549488635835,0.0005813804067265199
2,2022,2021,2021,1,278450,isotonic,278450,61694,0.22156221942898185,0.058626941688970126,0.8948036842742972,217125,14012,0.0645342544617156,0.05153492586414243,0.32644717053552474,0.0007815735349387398
2,2023,2021,2022,2,556900,raw,278450,52815,0.18967498653259113,0.05330629130716891,0.8844075438053657,226717,12952,0.05712849058517888,0.04590734500854643,0.3079034599637027,0.0
2,2023,2021,2022,2,556900,sigmoid,278450,52815,0.18967498653259113,0.05330875280547791,0.8844075438053657,226717,12952,0.05712849058517888,0.04590599668036427,0.3079034599637027,2.4614983090004428e-06
2,2023,2021,2022,2,556900,isotonic,278450,52815,0.18967498653259113,0.05322184617816617,0.8816118648083935,226717,12952,0.05712849058517888,0.0458099160754354,0.3018506087225268,-8.444512900273454e-05
2,2024,2021,2023,3,835350,raw,278450,95900,0.3444065361824385,0.0662648598257193,0.9430895350860458,182221,15500,0.08506154614451682,0.06618955317802243,0.34620575220890776,0.0
2,2024,2021,2023,3,835350,sigmoid,278450,95900,0.3444065361824385,0.06621647554850284,0.9430895350860458,182221,15500,0.08506154614451682,0.06608604852064029,0.34620575220890776,-4.838427721645666e-05
2,2024,2021,2023,3,835350,isotonic,278450,95900,0.3444065361824385,0.06608439878095652,0.941614517896279,182221,15500,0.08506154614451682,0.06591038362804699,0.3406651183808048,-0.0001804610447627697
3,2022,2021,2021,1,272881,raw,272881,60973,0.22344172001715032,0.08259838187017637,0.8249059913086986,212527,18972,0.08926865762938356,0.07071753132571201,0.33403359035643443,0.0
3,2022,2021,2021,1,272881,sigmoid,272881,60973,0.22344172001715032,0.08371615766048132,0.8249059913086986,212527,18972,0.08926865762938356,0.07173117071012641,0.33403359035643443,0.001117775790304948
3,2022,2021,2021,1,272881,isotonic,272881,60973,0.22344172001715032,0.08384644799914974,0.8199931937373887,212527,18972,0.08926865762938356,0.07166658841630905,0.3261233977026562,0.0012480661289733658
3,2023,2021,2022,2,545762,raw,272881,52094,0.1909037272657312,0.07504502030338592,0.8029998628944107,222378,17355,0.07804279200280603,0.06338777229849626,0.29649601987829455,0.0
3,2023,2021,2022,2,545762,sigmoid,272881,52094,0.1909037272657312,0.07501487508522282,0.8029998628944107,222378,17355,0.07804279200280603,0.06335269713146786,0.29649601987829455,-3.0145218163094012e-05
3,2023,2021,2022,2,545762,isotonic,272881,52094,0.1909037272657312,0.0749252812558548,0.7988083615440312,222378,17355,0.07804279200280603,0.06320597245982225,0.2906309178308753,-0.00011973904753111164
3,2024,2021,2023,3,818643,raw,272881,94311,0.3456121899289434,0.09481816700512667,0.8988552127085949,177938,20706,0.11636637480470725,0.09116464513650928,0.33898744495666716,0.0
3,2024,2021,2023,3,818643,sigmoid,272881,94311,0.3456121899289434,0.09465092066291894,0.8988552127085949,177938,20706,0.11636637480470725,0.090931313776597,0.33898744495666716,-0.00016724634220773027
3,2024,2021,2023,3,818643,isotonic,272881,94311,0.3456121899289434,0.09443919691214245,0.8966338672924596,177938,20706,0.11636637480470725,0.09055905992624971,0.3341427812564848,-0.0003789700929842238
4,2022,2021,2021,1,267312,raw,267312,60200,0.2252050038905848,0.1094853088090012,0.7190248214850448,207946,23294,0.11201946659228838,0.0903068184092999,0.306161217970998,0.0
4,2022,2021,2021,1,267312,sigmoid,267312,60200,0.2252050038905848,0.1112919565205538,0.7190248214850448,207946,23294,0.11201946659228838,0.09193012331368357,0.306161217970998,0.001806647711552603
4,2022,2021,2021,1,267312,isotonic,267312,60200,0.2252050038905848,0.11135987564746867,0.7123279547200085,207946,23294,0.11201946659228838,0.09179703350663247,0.2987574655937375,0.0018745668384674702
4,2023,2021,2022,2,534624,raw,267312,51293,0.1918843897767403,0.09773749533585628,0.6944273845813731,218000,21055,0.09658256880733945,0.08028896314632684,0.25865840458015743,0.0
4,2023,2021,2022,2,534624,sigmoid,267312,51293,0.1918843897767403,0.09764826125622851,0.6944273845813731,218000,21055,0.09658256880733945,0.0801735976279555,0.25865840458015743,-8.923407962777019e-05
4,2023,2021,2022,2,534624,isotonic,267312,51293,0.1918843897767403,0.09758178127251102,0.6878566045224725,218000,21055,0.09658256880733945,0.08004166143046416,0.25334829532695297,-0.00015571406334526083
4,2024,2021,2023,3,801936,raw,267312,92488,0.34599269767163465,0.1250905271123471,0.8368113859454384,173601,24960,0.14377797362918415,0.11480607616868688,0.3066409786815965,0.0
4,2024,2021,2023,3,801936,sigmoid,267312,92488,0.34599269767163465,0.12483060239850353,0.8368113859454384,173601,24960,0.14377797362918415,0.11438295668377284,0.3066409786815965,-0.0002599247138435762
4,2024,2021,2023,3,801936,isotonic,267312,92488,0.34599269767163465,0.12461412077023042,0.8341591000391385,173601,24960,0.14377797362918415,0.11392865290711111,0.3031299201094768,-0.00047640634211669475
